Date,Year,Daily.Count
30-Jul,2018,230
31-Jul,2018,265
1-Aug,2018,263
2-Aug,2018,204
3-Aug,2018,196
4-Aug,2018,195
5-Aug,2018,83
6-Aug,2018,153
7-Aug,2018,972
8-Aug,2018,106
9-Aug,2018,267
10-Aug,2018,217
11-Aug,2018,67
12-Aug,2018,54
13-Aug,2018,25
14-Aug,2018,137
15-Aug,2018,67
16-Aug,2018,64
17-Aug,2018,71
18-Aug,2018,77
19-Aug,2018,38
20-Aug,2018,103
21-Aug,2018,60
22-Aug,2018,62
23-Aug,2018,58
24-Aug,2018,50
25-Aug,2018,0
26-Aug,2018,70
27-Aug,2018,0
28-Aug,2018,0
29-Aug,2018,0
30-Aug,2018,11
31-Aug,2018,11
1-Sep,2018,7
2-Sep,2018,0
3-Sep,2018,0
4-Sep,2018,13
5-Sep,2018,0
6-Sep,2018,0
7-Sep,2018,0
8-Sep,2018,0
9-Sep,2018,0
10-Sep,2018,0
11-Sep,2018,0
12-Sep,2018,0
13-Sep,2018,0
14-Sep,2018,0
15-Sep,2018,0
16-Sep,2018,0
17-Sep,2018,0
18-Sep,2018,0
19-Sep,2018,0
20-Sep,2018,0
21-Sep,2018,0
22-Sep,2018,0
23-Sep,2018,0
24-Sep,2018,0
25-Sep,2018,0
26-Sep,2018,0
27-Sep,2018,0
28-Sep,2018,0
29-Sep,2018,0
30-Sep,2018,0
1-Oct,2018,0
2-Oct,2018,0
12-Jun,2019,74
13-Jun,2019,15
14-Jun,2019,7
15-Jun,2019,0
16-Jun,2019,7
17-Jun,2019,0
18-Jun,2019,59
19-Jun,2019,83
20-Jun,2019,162
21-Jun,2019,66
22-Jun,2019,103
23-Jun,2019,0
24-Jun,2019,133
25-Jun,2019,414
26-Jun,2019,1293
27-Jun,2019,1026
28-Jun,2019,282
29-Jun,2019,374
30-Jun,2019,587
1-Jul,2019,1441
2-Jul,2019,404
3-Jul,2019,737
4-Jul,2019,467
5-Jul,2019,126
6-Jul,2019,240
7-Jul,2019,457
8-Jul,2019,921
9-Jul,2019,937
10-Jul,2019,1139
11-Jul,2019,266
12-Jul,2019,133
13-Jul,2019,325
14-Jul,2019,580
15-Jul,2019,642
16-Jul,2019,933
17-Jul,2019,430
18-Jul,2019,133
19-Jul,2019,106
20-Jul,2019,200
21-Jul,2019,311
22-Jul,2019,327
23-Jul,2019,133
24-Jul,2019,221
25-Jul,2019,52
26-Jul,2019,30
27-Jul,2019,15
28-Jul,2019,52
29-Jul,2019,37
30-Jul,2019,78
31-Jul,2019,268
1-Aug,2019,26
2-Aug,2019,113
3-Aug,2019,33
4-Aug,2019,64
5-Aug,2019,122
6-Aug,2019,36
7-Aug,2019,85
8-Aug,2019,33
9-Aug,2019,26
10-Aug,2019,13
11-Aug,2019,0
12-Aug,2019,13
13-Aug,2019,7
14-Aug,2019,0
15-Aug,2019,0
16-Aug,2019,0
17-Aug,2019,4
18-Aug,2019,0
19-Aug,2019,0
20-Aug,2019,4
21-Aug,2019,0
22-Aug,2019,0
23-Aug,2019,0
24-Aug,2019,0
25-Aug,2019,0
26-Aug,2019,7
27-Aug,2019,0
28-Aug,2019,0
29-Aug,2019,0
30-Aug,2019,0
31-Aug,2019,0
1-Sep,2019,0
2-Sep,2019,0
3-Sep,2019,0
4-Sep,2019,0
5-Sep,2019,0
6-Sep,2019,0
7-Sep,2019,0
8-Sep,2019,0
9-Sep,2019,0
10-Sep,2019,0
11-Sep,2019,0
12-Sep,2019,0
13-Sep,2019,0
14-Sep,2019,0
15-Sep,2019,0
16-Sep,2019,0
17-Sep,2019,0
18-Sep,2019,0
19-Sep,2019,0
20-Sep,2019,0
21-Sep,2019,0
22-Sep,2019,0
23-Sep,2019,0
24-Sep,2019,0
25-Sep,2019,0
26-Sep,2019,0
27-Sep,2019,0
28-Sep,2019,0
29-Sep,2019,0
30-Sep,2019,0
1-Oct,2019,0
2-Oct,2019,0
12-Jun,2020,9
13-Jun,2020,9
14-Jun,2020,2
15-Jun,2020,9
16-Jun,2020,28
17-Jun,2020,2
18-Jun,2020,9
19-Jun,2020,58
20-Jun,2020,79
21-Jun,2020,172
22-Jun,2020,67
23-Jun,2020,249
24-Jun,2020,182
25-Jun,2020,142
26-Jun,2020,701
27-Jun,2020,13
