"","Sockeye","Chinook","Coho"
"70",4255.05781468336,68.9943772878814,0
"71",3949.38762282633,81.3804131763606,0
"72",3640.91668584826,95.7939966157466,0
"73",3334.86481819861,112.756350339607,0
"74",3035.05225423503,130.661369284259,0
"75",2743.24597143746,151.286620280773,0
"76",2465.15425709858,174.00480133215,0
"77",2199.77965352881,199.299343709809,0
"78",1949.96503917306,227.585527975128,0
"79",1716.82205005628,258.138541005256,0
"80",1503.63851644208,290.486127774914,0
"81",1307.73333952407,326.173706747418,0
"82",1130.70650664914,363.442722109203,0
"83",971.337515296546,403.960293035185,0
"84",829.465740494091,445.966522319866,0
"85",704.123525432705,490.164403183361,0
"86",594.399190545717,536.006208052303,0
"87",498.810807235371,583.126186846863,0
"88",416.493264570682,631.511228546831,0
"89",345.468902558702,679.60929123564,0
"90",284.713645054274,727.662597787311,0
"91",233.480594959731,775.684844281592,0
"92",190.270399206054,822.630699667508,0
"93",154.13615324105,867.728105571465,0
"94",123.481018090653,911.845841001601,0
"95",98.2610049053563,952.761760042474,0
"96",78.4605075157419,990.102066069606,0
"97",62.0652799441363,1024.03628101291,0
"98",48.8057651584493,1053.36361758773,0
"99",37.5107402419035,1078.04011528406,0
"100",28.4463264349108,1097.79228557355,0
"101",21.7787096075297,1111.88775182842,1
"102",16.6105669816221,1120.80645037627,1.59372204780591
"103",12.3802115068635,1124.81693093208,2.94623381854459
"104",8.73623789366448,1122.82389890213,5.7492785676449
"105",6.45895824241363,1115.2795739288,9.41363812060128
"106",5.03587328803881,1102.43421131477,15.5895620044343
"107",3.14661360622809,1083.48322794132,23.2572370815548
"108",1.9660921539409,1059.99880452242,34.8115336450143
"109",1.22845357904388,1031.72518016595,49.6755516766138
"110",0.767556374806435,999.913917002026,70.5082737638711
"111",0.479578372683975,963.066517981011,97.8913629542298
"112",0.299645405962236,923.636867951905,133.176706897909
"113",0.187221120212528,881.129018584278,178.173667143244
"114",0.116977285172118,836.229946749613,234.967676992026
"115",0.0730883164355628,789.903743540497,303.839148172656
"116",0.0456661258552728,742.093586933723,386.942174781989
"117",0.0285325275502951,694.073782969556,485.576835522151
"118",0.0178273275490287,646.070422863087,598.586745833373
"119",0.0111386407639079,598.207071247362,726.348936031142
"120",0.00695950130755189,551.376943686979,868.015282761686
"121",0.00434834532922735,505.486823333559,1021.30467946605
"122",0.0027168766560908,461.361073647583,1182.87262026885
"123",0.00169752355934258,418.534541418589,1347.45009521737
"124",0.00106062459609171,377.769581154515,1511.17925177086
"125",0.000662685663881157,339.606317480785,1667.6149718868
"126",0.000414050634857669,304.435952418375,1811.58960498926
"127",0.000258701730183507,271.585069615158,1937.21583356287
"128",0.000161638648676614,240.529083286628,2038.89636878588
"129",0.000100992957041424,211.865434294026,2112.35704885013
"130",6.31011051467691e-05,186.023508596017,2153.15274295129
"131",3.94260113376117e-05,162.349070869463,2161.30695477622
"132",2.46336473192518e-05,141.330697870067,2135.32958850018
"133",1.53912749369458e-05,122.342208844417,2075.56430096256
"134",9.61657610394772e-06,105.901970187319,1985.96306793689
"135",6.00850393074011e-06,90.4032094660609,1870.98162687535
"136",3.75415523095271e-06,77.625900032643,1734.86676467929
"137",2.34562241453665e-06,65.9181496513007,1582.68212078686
"138",1.46556127091866e-06,56.0255224822526,1421.89615212263
"139",9.15692920347131e-07,47.5136439611922,1257.18916321937
"140",5.72131333576836e-07,40.0509199430768,1095.11456730503
"141",3.57471654072959e-07,33.3864346349998,939.148179106052
"142",2.23350786726727e-07,27.3283282718637,792.982835656917
"143",1.39551131853396e-07,22.7311926591155,660.006109187309
"144",8.71925220724411e-08,18.2458974629321,542.497373959077
"145",5.44784969091651e-08,14.8414712467419,438.400849592509
"146",3.40385454502024e-08,12.25831673756,348.859697495176
"147",2.12675209871753e-08,9.29934061824115,273.58201695345
"148",1.32880956855672e-08,7.05415869651555,211.374408180572
"149",8.30249501365223e-09,5.3509066988154,161.162359958845
"150",5.18745688493075e-09,4.05885194874513,121.160031527927
"151",3.2411593007602e-09,3.07877817167999,89.2848010145996
"152",2.02509897352995e-09,2.33541600231038,65.2880998575095
"153",1.26529598580068e-09,1.7718009129837,47.0732657359736
"154",7.90565771159525e-10,1.34400534222828,33.083651914086
